"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"370","Tyron Johnson","LV","wr","6","17","43","0","0","0","0","0","0","0","0","0","0","20.4227","13.232","216.311","1.3558","0.1215","0.0607","0.0452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"371","N'Keal Harry","CHI","wr","14","17","43","0","0","0","0","0","0","0","0","0","0","28.5417","16.9779","192.4603","1.1305","0.1991","0.0995","0.0362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"372","Colby Parkinson","SEA","te","11","17","9.3","0","0","0","0","0","0","0","0","0","0","5.3396","3.7587","42.3237","0.2216","0.0437","0.0219","0.0155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"373","Amari Rodgers","GB","wr","14","17","41.8","0","0","0","0","0","0","0","10.5183","65.8398","0.3777","18.72","12.8684","145.7922","1.0124","1.3547","0.6773","0.0686","1023.9918","0.7282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"374","Hunter Long","MIA","te","11","17","8.2","0","0","0","0","0","0","0","0","0","0","4.5833","3.2387","36.4265","0.2229","0.0382","0.0191","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"375","Jalen Reagor","MIN","wr","7","17","41","0","0","0","0","0","0","0","0","0","0","25.7731","17.3007","173.5337","1.055","0.1332","0.0666","0.0498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"376","Josiah Deguara","GB","te","14","17","7.6","0","0","0","0","0","0","0","0","0","0","3.9709","2.9779","31.2727","0.255","0.0327","0.0164","0.0153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"377","Damiere Byrd","ATL","wr","14","17","40.6","0","0","0","0","0","0","0","3.0166","14.7039","0.1081","22.7291","14.9853","186.4628","0.8533","0.8504","0.4252","0.084","278.861","0.2651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"378","Nick Boyle","BLT","te","10","17","6.7","0","0","0","0","0","0","0","0","0","0","3.9592","2.9345","27.2808","0.1666","0.0333","0.0167","0.0079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379","Dante Pettis","CHI","wr","14","17","39.4","0","0","0","0","0","0","0","0","0","0","23.445","14.9016","181.2485","1.0673","0.1411","0.0706","0.0366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380","Jared Bernhardt","ATL","wr","14","17","39.2","0","0","0","0","0","0","0","0","0","0","23.2835","14.9519","187.9933","0.9114","0.1454","0.0727","0.0443","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"381","Deonte Harty","NO","wr","14","17","39.1","0","0","0","0","0","0","0","2.5752","15.6296","0.0852","21.8203","14.8174","170.6289","0.9625","1.3917","0.6959","0.0485","1237.4586","0.7462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"382","Mitchell Wilcox","CIN","te","10","17","5.6","0","0","0","0","0","0","0","0","0","0","2.868","2.094","23.5642","0.196","0.0246","0.0123","0.0112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"383","Maxx Williams","ARZ","te","13","17","5.5","0","0","0","0","0","0","0","0","0","0","2.8666","2.234","23.1634","0.1616","0.0251","0.0125","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"384","Jesper Horsted","LV","te","6","17","5.4","0","0","0","0","0","0","0","0","0","0","2.9175","2.1382","23.262","0.162","0.0252","0.0126","0.0117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"385","Khalil Shakir","BUF","wr","7","17","38.2","0","0","0","0","0","0","0","0","0","0","20.8269","14.1008","175.2554","1.0937","0.1371","0.0686","0.0397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"386","Nick Vannett","NO","te","14","17","4.2","0","0","0","0","0","0","0","0","0","0","2.5977","1.8978","16.2657","0.1061","0.021","0.0105","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"387","Scotty Miller","TB","wr","11","17","37.4","0","0","0","0","0","0","0","0.3995","2.3106","0.016","18.3412","12.0928","176.5199","1.2164","0.1054","0.0527","0.0464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"388","Dareke Young","SEA","wr","11","17","37.1","0","0","0","0","0","0","0","0","0","0","21.8924","14.0594","177.0557","0.8959","0.1367","0.0684","0.0389","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"389","Denzel Mims","NYJ","wr","10","17","37","0","0","0","0","0","0","0","0","0","0","21.7264","12.8896","183.668","0.9444","0.1111","0.0555","0.076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"390","Montrell Washington","DEN","wr","9","17","36.3","0","0","0","0","0","0","0","0","0","0","20.3394","13.407","165.678","1.0545","0.1304","0.0652","0.0366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391","Ashton Dulin","IND","wr","14","17","35.8","0","0","0","0","0","0","0","0.8859","5.0944","0.0323","19.5762","12.4447","163.2724","1.0875","0.5347","0.2673","0.038","696.3718","0.3838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"392","James Proche","BLT","wr","10","17","35.4","0","0","0","0","0","0","0","0","0","0","21.2809","13.9392","160.6377","0.8997","0.1312","0.0656","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393","Lawrence Cager","NYJ","te","10","17","0.9","0","0","0","0","0","0","0","0","0","0","0.5173","0.3657","3.9205","0.0223","0.0043","0.0022","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"394","Anthony Schwartz","CLV","wr","9","17","31.1","0","0","0","0","0","0","0","1.7447","10.7216","0.0549","18.8198","12.3166","133.2482","0.6765","0.1343","0.0672","0.0328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
