"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","17","332","61","0","0","0","0","0","0","247.0635","1069.0869","7.5187","106.9313","86.9331","724.7167","3.56","2.3182","1.1591","0.1711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Cooper Kupp","LA","wr","7","17","363.9","57","0","0","0","0","0","0","9.1853","48.6233","0.3343","164.8612","127.0067","1564.7992","12.2493","1.404","0.702","0.3823","235.1598","0.268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Derrick Henry","TEN","rb","6","17","301","52","0","0","0","0","0","0","355.1702","1537.7121","13.2749","43.638","36.2627","251.4467","1.1034","3.1874","1.5937","0.5753","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Jonathan Taylor","IND","rb","14","17","297.9","51","0","0","0","0","0","0","287.482","1365.4713","12.4475","54.1738","46.0854","312.2078","1.7544","2.4444","1.2222","0.0354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Najee Harris","PIT","rb","9","17","293.7","50","0","0","0","0","0","0","275.803","1133.8798","7.973","85.4851","69.2837","494.9862","2.3473","1.3205","0.6602","0.1231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Alvin Kamara","NO","rb","14","17","292.6","50","0","0","0","0","0","0","248.0732","1054.9448","10.4782","75.8517","61.0154","468.7422","2.8179","1.3035","0.6518","0.0421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Travis Kelce","KC","te","8","17","301.4","50","0","0","0","0","0","0","2.3142","9.885","0.1595","144.3772","106.7226","1343.8194","9.7162","1.0228","0.5114","0.2923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Dalvin Cook","MIN","rb","7","17","291.8","50","0","0","0","0","0","0","306.8222","1379.9439","10.6043","58.0506","49.3257","324.7714","1.4898","4.3488","2.1744","0.7832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Justin Jefferson","MIN","wr","7","17","329.9","47","0","0","0","0","0","0","5.1712","31.1504","0.1742","160.4606","106.3097","1620.7794","9.5753","1.1723","0.5862","0.2322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Austin Ekeler","LAC","rb","8","17","275","45","0","0","0","0","0","0","219.7878","965.0191","7.3279","77.4898","65.3689","493.1354","3.3361","2.5104","1.2552","0.5345","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
