"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"95","Chase Claypool","PIT","wr","9","17","158.1","5","0","0","0","0","0","0","13.1389","73.6692","0.579","100.6312","62.4642","850.3224","5.2252","1.1905","0.5953","0.1114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Jahan Dotson","WAS","wr","14","17","157.3","5","0","0","0","0","0","0","0.8103","5.3819","0.0347","105.167","70.6722","852.5629","5.9709","0.697","0.3485","0.2391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Diontae Johnson","PIT","wr","9","17","155.5","4","0","0","0","0","0","0","4.6372","28.6674","0.151","118.7683","80.1991","808.1206","5.1027","0.884","0.442","0.3094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Trey Lance","SF","qb","9","17","324.9","4","317.5763","475.5286","3847.7231","23.3917","13.9147","38.4093","133.3417","499.0245","7.4648","0","0","0","0","11.9441","5.972","1.2999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Jamaal Williams","DET","rb","6","17","112.2","3","0","0","0","0","0","0","128.7743","522.7375","3.738","30.7451","25.1671","187.7954","0.9257","0.8314","0.4157","0.5142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Cole Kmet","CHI","te","14","17","116.9","3","0","0","0","0","0","0","0.7789","4.6065","0.0299","89.0031","62.9735","635.0457","3.5352","0.7496","0.3748","0.2037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","Gerald Everett","LAC","te","8","17","116.5","3","0","0","0","0","0","0","0","0","0","82.8306","62.3069","611.5575","4.0681","1.0827","0.5414","0.1495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Marvin Jones Jr.","JAX","wr","11","17","152.3","3","0","0","0","0","0","0","0","0","0","103.047","66.3936","840.1439","5.8339","0.3887","0.1943","0.1276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Corey Davis","NYJ","wr","10","17","151.7","3","0","0","0","0","0","0","0","0","0","97.8143","58.9213","887.1891","5.6336","1.0391","0.5195","0.1433","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","D.J. Chark Jr.","DET","wr","6","17","151.4","3","0","0","0","0","0","0","1.6404","9.4083","0.0593","99.9217","62.5919","842.9961","5.7503","0.5165","0.2582","0.1473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
