"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","17","327.9","65","0","0","0","0","0","0","243.8633","1037.28","7.7141","107.0262","85.6944","716.0717","3.5539","2.2873","1.1436","0.1895","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Derrick Henry","TEN","rb","6","17","314.6","61","0","0","0","0","0","0","355.7451","1596.7732","14.475","44.0314","36.2238","255.5507","1.0992","3.1917","1.5959","0.6326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Najee Harris","PIT","rb","9","17","296.6","56","0","0","0","0","0","0","275.5295","1102.1279","8.2656","86.5897","70.4851","517.9467","2.4836","1.3286","0.6643","0.1405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Alvin Kamara","NO","rb","14","17","295","55","0","0","0","0","0","0","247.2745","1047.3395","11.1424","75.5547","61.0742","463.54","2.7604","1.3001","0.6501","0.0486","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Dalvin Cook","MIN","rb","7","17","294","55","0","0","0","0","0","0","305.448","1376.4965","11.607","58.0903","48.6368","306.018","1.3128","4.3239","2.162","0.8698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Cooper Kupp","LA","wr","7","17","349.6","54","0","0","0","0","0","0","9.1348","45.3715","0.2992","164.0751","123.3486","1521.5667","11.2746","1.3782","0.6891","0.3815","233.3921","0.2869","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Travis Kelce","KC","te","8","17","292.7","50","0","0","0","0","0","0","2.299","7.9917","0.1567","143.1477","103.5908","1329.7178","9.0537","0.9934","0.4967","0.2842","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Jonathan Taylor","IND","rb","14","17","275","49","0","0","0","0","0","0","284.022","1285.5145","11.0819","53.6885","44.8042","276.7289","1.4371","2.4067","1.2033","0.0354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Austin Ekeler","LAC","rb","8","17","272.3","48","0","0","0","0","0","0","217.7512","962.8314","7.6313","77.3492","64.1475","473.1707","3.1519","2.4725","1.2363","0.5484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Justin Jefferson","MIN","wr","7","17","330.8","48","0","0","0","0","0","0","5.148","31.1949","0.1832","160.5704","105.8318","1591.1305","10.2781","1.167","0.5835","0.2573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
